molecule-id;erf;rf;dnn;knn;svr;esvr;lr
1                   ;-7.652;-7.552;-7.722;-7.069;-6.764;-7.576;-6.866
2                   ;-10.234;-10.374;-9.052;-8.373;-8.704;-8.789;-8.889
3                   ;-9.739;-9.974;-10.152;-10.424;-9.160;-10.058;-9.242
4                   ;-9.765;-9.958;-9.652;-10.085;-8.884;-9.592;-9.018
5                   ;-10.078;-10.477;-9.863;-9.501;-9.643;-9.497;-9.749
6                   ;-10.029;-10.066;-9.784;-10.649;-8.854;-10.261;-9.011
7                   ;-10.044;-10.303;-9.877;-8.854;-9.600;-9.223;-9.648
8                   ;-9.805;-10.005;-9.698;-10.090;-8.625;-10.012;-8.747
9                   ;-8.208;-8.023;-7.726;-10.342;-7.008;-8.078;-7.238
10                  ;-9.951;-10.047;-9.798;-9.807;-8.605;-10.146;-8.750
11                  ;-10.157;-10.242;-9.583;-9.977;-9.049;-9.409;-9.080
12                  ;-9.836;-9.869;-9.527;-10.082;-8.370;-9.753;-8.503
13                  ;-10.189;-10.536;-10.553;-9.297;-10.592;-9.720;-10.770
14                  ;-6.856;-7.044;-7.105;-6.150;-6.588;-6.982;-6.458
15                  ;-9.921;-10.063;-9.658;-9.451;-8.827;-9.284;-9.024
16                  ;-10.323;-10.416;-10.157;-9.288;-10.448;-9.852;-10.504
17                  ;-9.771;-9.950;-9.335;-9.655;-8.399;-9.385;-8.553
18                  ;-10.124;-10.018;-9.281;-7.966;-9.099;-8.865;-9.351
19                  ;-9.401;-9.534;-9.638;-9.440;-8.676;-9.349;-8.788
20                  ;-10.527;-10.854;-10.168;-10.091;-9.540;-9.660;-9.665
21                  ;-9.224;-9.028;-8.963;-8.955;-7.678;-9.342;-7.670
22                  ;-10.360;-10.721;-10.100;-10.010;-10.047;-9.455;-10.066
23                  ;-10.423;-10.540;-9.570;-9.802;-8.725;-9.343;-8.915
24                  ;-10.521;-10.573;-10.479;-9.886;-11.287;-9.846;-11.435
25                  ;-9.535;-9.313;-8.805;-8.696;-8.655;-8.745;-8.770
26                  ;-8.805;-8.839;-8.625;-9.599;-7.656;-8.384;-7.703
27                  ;-10.201;-10.327;-9.226;-8.364;-8.796;-8.886;-9.009
28                  ;-9.034;-8.983;-8.490;-9.073;-7.611;-8.460;-7.649
29                  ;-8.847;-8.942;-8.549;-8.875;-7.596;-8.714;-7.592
30                  ;-10.078;-10.253;-9.873;-9.861;-9.426;-9.481;-9.619
31                  ;-9.804;-9.910;-9.857;-10.047;-8.950;-9.772;-8.991
32                  ;-10.545;-10.835;-10.433;-10.061;-10.249;-9.935;-10.333
33                  ;-10.473;-10.628;-9.576;-10.225;-9.002;-9.557;-9.134
34                  ;-9.893;-10.001;-9.437;-10.071;-8.626;-9.605;-8.737
35                  ;-9.809;-9.991;-10.024;-10.527;-9.347;-10.437;-9.383
36                  ;-10.609;-10.748;-9.956;-10.068;-10.083;-9.743;-10.069
