MoleculeID;PBFE(ERF);PBFE(RF);PBFE(DNN);PBFE(KNN);PBFE(SVR);PBFE(εSVR);PBFE(LR)
1;	-7.600; -7.500; -7.772; -7.224; -6.865; -7.617; -6.950
2;	-10.254; -10.372; -9.067; -8.373; -8.730; -8.822; -8.903
3;	-9.736; -9.944; -10.262; -10.212; -9.243; -10.275; -9.374
4;	-9.765; -9.958; -9.652; -10.085; -8.884; -9.592; -9.018
5;	-9.888; -10.262; -10.035; -9.307; -9.766; -9.398; -9.910
6;	-10.029; -10.062; -9.784; -10.649; -8.855; -10.261; -9.012
7;	-10.048; -10.312; -9.859; -8.854; -9.604; -9.194; -9.654
8;	-9.805; -10.005; -9.698; -10.090; -8.625; -10.012; -8.747
9;	-8.213; -8.025; -7.726; -10.342; -7.009; -8.076; -7.239
10;	-9.899; -10.006; -9.764; -9.750; -8.560; -10.099; -8.717
11;	-10.278; -10.226; -9.597; -9.969; -8.919; -9.622; -8.970
12;	-9.990; -10.155; -9.737; -10.090; -8.562; -10.107; -8.756
13;	-10.201; -10.550; -10.538; -9.384; -10.587; -9.707; -10.766
14;	-6.854; -7.044; -7.105; -6.150; -6.588; -6.983; -6.459
15;	-9.772; -9.906; -9.581; -9.512; -8.568; -9.076; -8.757
16;	-10.311; -10.443; -10.144; -9.288; -10.428; -9.831; -10.495
17;	-9.774; -9.955; -9.335; -9.655; -8.399; -9.385; -8.554
18;	-10.160; -9.994; -9.240; -7.966; -9.027; -8.797; -9.307
19;	-9.401; -9.534; -9.637; -9.440; -8.676; -9.348; -8.787
20;	-10.534; -10.847; -10.167; -10.091; -9.536; -9.666; -9.660
21;	-9.179; -9.012; -8.956; -8.829; -7.678; -9.348; -7.666
22;	-10.355; -10.696; -10.106; -10.010; -10.047; -9.477; -10.064
23;	-10.420; -10.535; -9.569; -9.802; -8.726; -9.342; -8.915
24;	-10.521; -10.573; -10.479; -9.887; -11.287; -9.846; -11.435
25;	-9.536; -9.307; -8.812; -8.696; -8.638; -8.760; -8.751
26;	-8.806; -8.840; -8.625; -9.599; -7.656; -8.385; -7.703
27;	-10.201; -10.327; -9.226; -8.364; -8.796; -8.886; -9.009
28;	-9.193; -9.005; -8.620; -8.755; -7.824; -8.549; -7.821
29;	-8.847; -8.942; -8.549; -8.875; -7.596; -8.714; -7.592
30;	-10.068; -10.292; -9.944; -9.546; -9.516; -9.576; -9.670
31;	-9.795; -9.880; -9.844; -10.047; -8.953; -9.748; -8.998
32;	-10.523; -10.822; -10.413; -10.061; -10.255; -9.953; -10.326
33;	-10.284; -10.485; -9.507; -10.026; -9.249; -9.258; -9.354
34;	-9.920; -10.013; -9.420; -10.071; -8.606; -9.608; -8.716
35;	-9.922; -10.001; -10.192; -10.231; -9.543; -10.666; -9.556
36;	-10.604; -10.795; -9.943; -10.051; -10.113; -9.746; -10.078
37;	-10.459; -10.729; -9.754; -10.229; -9.366; -9.547; -9.430
38;	-10.457; -10.468; -9.431; -10.030; -10.620; -9.415; -10.903
39;	-9.941; -10.030; -9.663; -9.704; -8.801; -9.874; -9.003
40;	-8.248; -8.255; -7.945; -9.939; -7.035; -8.154; -7.321
41;	-10.406; -10.729; -10.412; -10.152; -10.308; -9.814; -10.391
42;	-9.868; -9.870; -8.709; -8.465; -8.752; -8.865; -9.048
43;	-9.689; -9.758; -9.800; -10.424; -8.772; -9.529; -8.871
44;	-9.771; -9.743; -9.255; -10.413; -8.403; -9.353; -8.534
45;	-8.931; -9.327; -8.568; -9.943; -7.512; -8.318; -7.695
46;	-9.702; -9.848; -9.327; -9.699; -8.353; -9.531; -8.397
47;	-10.400; -10.758; -10.129; -10.058; -9.690; -9.717; -9.825
48;	-10.331; -10.719; -10.964; -9.530; -10.589; -10.285; -10.815
49;	-8.799; -8.892; -8.398; -10.066; -7.409; -8.963; -7.423
50;	-8.890; -8.924; -8.625; -9.355; -7.459; -8.089; -7.621
51;	-6.754; -6.882; -7.174; -6.137; -6.410; -7.111; -6.331
52;	-10.415; -10.662; -9.509; -9.975; -8.910; -9.234; -9.126
53;	-10.437; -10.719; -9.214; -8.830; -9.055; -8.807; -9.176
54;	-9.927; -10.101; -9.653; -9.006; -9.378; -9.217; -9.632
55;	-9.179; -9.317; -8.524; -10.530; -7.475; -8.956; -7.580
56;	-9.896; -10.042; -9.587; -8.475; -9.322; -9.124; -9.513
57;	-10.033; -10.477; -10.178; -9.146; -9.922; -9.509; -10.069
58;	-8.664; -8.761; -8.274; -9.258; -7.242; -8.096; -7.557
59;	-9.770; -9.667; -8.881; -9.506; -8.473; -8.826; -8.692
60;	-9.123; -9.107; -9.154; -9.407; -8.344; -9.127; -8.496
61;	-10.166; -10.352; -9.960; -9.032; -9.658; -9.432; -9.814
62;	-9.697; -9.731; -9.947; -10.299; -8.997; -9.965; -9.053
63;	-10.237; -10.521; -9.730; -9.301; -9.452; -9.422; -9.546
64;	-10.461; -10.725; -9.312; -9.844; -8.746; -9.052; -8.937
65;	-9.067; -9.018; -8.634; -9.018; -7.554; -9.029; -7.562
66;	-10.325; -10.580; -10.222; -9.854; -10.200; -9.778; -10.344
67;	-9.671; -9.761; -9.608; -9.402; -8.377; -10.056; -8.502
68;	-10.636; -10.846; -10.154; -9.171; -9.636; -9.898; -9.790
69;	-9.838; -10.086; -9.631; -9.853; -8.578; -10.272; -8.768
70;	-9.215; -9.134; -9.315; -9.539; -8.726; -8.935; -8.726
71;	-10.340; -10.550; -9.561; -10.105; -9.085; -9.329; -9.250
72;	-8.433; -8.551; -8.103; -8.890; -7.352; -7.997; -7.315
73;	-8.135; -8.219; -7.806; -8.350; -7.049; -7.901; -7.134
74;	-9.795; -9.882; -10.074; -9.807; -8.989; -9.753; -9.037
75;	-8.496; -8.543; -8.020; -8.423; -6.869; -8.571; -6.910
76;	-9.362; -9.282; -9.258; -9.601; -8.039; -9.181; -8.020
77;	-6.516; -6.240; -7.194; -6.158; -6.251; -6.871; -6.248
78;	-10.259; -10.505; -10.525; -9.643; -10.140; -9.959; -10.281
79;	-10.024; -10.090; -9.490; -10.362; -8.328; -9.843; -8.420
80;	-10.565; -10.784; -9.784; -9.763; -8.976; -9.298; -9.090
81;	-8.726; -8.776; -8.342; -8.626; -7.151; -8.785; -7.158
82;	-8.053; -7.793; -7.879; -8.357; -7.044; -8.641; -6.881
83;	-9.494; -9.564; -8.984; -10.167; -7.885; -9.620; -8.139
84;	-9.904; -10.115; -10.100; -10.000; -8.939; -10.860; -9.000
85;	-8.542; -8.571; -8.070; -9.028; -7.329; -8.477; -7.358
86;	-9.062; -9.172; -8.640; -9.337; -8.002; -8.660; -8.127
87;	-9.421; -9.451; -9.502; -9.656; -8.511; -9.415; -8.688
88;	-10.592; -10.738; -10.459; -9.488; -10.299; -9.916; -10.483
89;	-9.676; -9.985; -9.486; -9.429; -8.384; -9.384; -8.590
90;	-8.786; -9.080; -8.341; -10.116; -7.389; -8.617; -7.506
91;	-9.973; -10.066; -10.197; -10.332; -9.665; -10.613; -9.720
92;	-9.764; -10.059; -9.656; -9.479; -9.781; -9.397; -9.862
93;	-10.672; -10.987; -10.363; -10.068; -9.635; -10.165; -9.714
94;	-8.991; -8.945; -8.658; -8.943; -7.593; -8.726; -7.571
95;	-9.803; -10.011; -9.217; -9.453; -9.155; -9.099; -9.363
96;	-9.964; -10.132; -9.943; -9.945; -8.565; -10.381; -8.780
97;	-9.902; -10.040; -10.721; -10.376; -9.617; -11.100; -9.657
98;	-10.226; -10.547; -10.008; -9.479; -9.532; -9.654; -9.674
99;	-10.507; -10.753; -9.896; -10.050; -9.282; -9.686; -9.464
100;	-10.345; -10.682; -10.285; -9.817; -9.926; -9.601; -9.949
