MoleculeID;PBFE(ERF);PBFE(RF);PBFE(DNN);PBFE(KNN);PBFE(SVR);PBFE(εSVR);PBFE(LR)
APVD_1_ZINC;	-8.066; -8.332; -8.478; -7.906; -7.800; -7.871; -7.967
APVD_2_ZINC;	-6.931; -7.069; -7.363; -7.320; -7.053; -6.782; -7.098
APVD_3_ZINC;	-6.975; -7.190; -7.369; -6.436; -7.243; -7.065; -7.273
APVD_4_ZINC;	-5.961; -5.709; -6.204; -6.008; -5.639; -6.151; -5.602
APVD_5_ZINC;	-6.312; -6.269; -6.427; -6.873; -6.138; -6.043; -6.070
APVD_6_ZINC;	-6.017; -5.678; -5.658; -5.998; -5.445; -5.561; -5.523
APVD_7_ZINC;	-8.333; -8.656; -8.835; -7.656; -8.583; -8.270; -8.443
APVD_8_ZINC;	-8.509; -8.827; -9.057; -8.022; -8.735; -8.574; -8.593
APVD_9_ZINC;	-8.336; -8.455; -8.749; -8.688; -8.474; -8.073; -8.411
APVD_10_ZINC;	-8.193; -8.397; -8.370; -6.952; -8.074; -7.542; -8.024
APVD_11_ZINC;	-8.266; -8.583; -8.453; -6.794; -8.219; -7.778; -8.166
APVD_12_ZINC;	-8.861; -8.956; -9.014; -8.438; -7.793; -8.751; -8.072
APVD_13_ZINC;	-6.997; -7.437; -7.559; -6.504; -7.285; -7.631; -7.241
APVD_14_ZINC;	-6.303; -5.783; -7.168; -6.282; -7.133; -6.535; -7.120
APVD_15_ZINC;	-8.454; -8.650; -9.056; -7.959; -8.685; -8.678; -8.646
APVD_16_ZINC;	-8.015; -8.176; -8.230; -7.008; -7.613; -7.751; -7.604
APVD_17_ZINC;	-7.998; -8.178; -8.378; -7.670; -7.802; -7.720; -7.799
APVD_18_ZINC;	-8.063; -8.335; -8.560; -7.140; -7.993; -7.963; -7.974
APVD_19_ZINC;	-8.286; -8.458; -8.627; -8.082; -8.322; -8.180; -8.320
APVD_20_ZINC;	-6.256; -6.229; -6.764; -6.417; -6.874; -6.384; -6.937
APVD_21_ZINC;	-6.373; -6.388; -6.859; -5.902; -6.999; -6.763; -7.061
APVD_22_ZINC;	-7.756; -7.813; -7.871; -7.191; -7.381; -7.336; -7.409
APVD_23_ZINC;	-7.713; -7.979; -7.956; -7.463; -7.642; -7.590; -7.658
APVD_24_ZINC;	-8.308; -8.564; -8.140; -7.266; -8.035; -7.256; -8.206
APVD_25_ZINC;	-8.377; -8.859; -8.368; -9.363; -8.235; -7.795; -8.357
APVD_26_ZINC;	-8.807; -8.829; -8.735; -7.760; -7.906; -8.620; -8.030
APVD_27_ZINC;	-5.774; -5.588; -5.832; -6.749; -5.713; -5.545; -5.686
APVD_28_ZINC;	-7.527; -7.791; -7.549; -7.741; -7.324; -7.096; -7.345
APVD_29_ZINC;	-7.542; -7.807; -7.563; -7.522; -7.334; -7.099; -7.354
APVD_30_ZINC;	-7.629; -7.945; -7.713; -7.418; -7.514; -7.432; -7.519
APVD_31_ZINC;	-6.307; -6.213; -6.733; -6.432; -6.625; -6.720; -6.722
APVD_32_ZINC;	-8.245; -8.489; -8.510; -7.549; -7.793; -7.749; -7.894
APVD_33_ZINC;	-8.359; -8.627; -8.567; -7.544; -8.146; -7.869; -8.161
APVD_34_ZINC;	-8.543; -8.848; -8.737; -8.004; -8.131; -8.127; -8.184
APVD_35_ZINC;	-8.729; -8.902; -9.118; -8.991; -8.287; -8.890; -8.501
APVD_36_ZINC;	-6.756; -6.696; -7.387; -6.859; -7.128; -6.427; -7.055
APVD_37_ZINC;	-7.301; -7.604; -7.421; -5.222; -7.638; -6.651; -7.589
APVD_38_ZINC;	-8.413; -8.558; -8.985; -6.870; -8.429; -8.560; -8.374
APVD_39_ZINC;	-8.456; -8.545; -8.862; -8.770; -8.186; -8.522; -8.320
APVD_40_ZINC;	-8.496; -8.581; -8.866; -9.004; -8.173; -8.453; -8.312
APVD_41_ZINC;	-8.629; -8.764; -9.068; -9.444; -8.378; -8.742; -8.497
APVD_42_ZINC;	-6.470; -6.164; -7.304; -6.699; -6.612; -6.622; -6.759
APVD_43_ZINC;	-8.343; -8.696; -8.678; -7.536; -8.442; -8.092; -8.402
APVD_44_ZINC;	-8.339; -8.372; -8.445; -7.835; -7.958; -7.898; -8.030
APVD_45_ZINC;	-7.784; -8.149; -7.680; -7.479; -7.423; -7.727; -7.433
APVD_46_ZINC;	-5.688; -5.567; -6.056; -6.311; -5.904; -5.417; -5.923
APVD_47_ZINC;	-6.999; -7.124; -7.468; -7.264; -6.830; -6.924; -6.950
APVD_48_ZINC;	-7.819; -8.027; -8.113; -7.804; -7.684; -7.585; -7.688
APVD_49_ZINC;	-7.581; -8.220; -8.137; -7.692; -7.874; -8.058; -7.879
APVD_50_ZINC;	-8.390; -8.684; -8.953; -9.633; -7.827; -8.438; -7.893
APVD_51_ZINC;	-8.911; -8.969; -9.649; -8.382; -8.181; -9.252; -8.343
APVD_52_ZINC;	-8.902; -8.910; -9.449; -8.316; -8.046; -9.061; -8.208
APVD_53_ZINC;	-7.952; -8.274; -8.802; -8.594; -7.857; -8.407; -7.798
APVD_54_ZINC;	-8.021; -8.212; -8.794; -8.311; -7.959; -8.423; -7.886
APVD_55_ZINC;	-7.293; -7.665; -7.427; -5.381; -7.540; -6.731; -7.518
APVD_56_ZINC;	-7.687; -8.074; -8.058; -7.667; -7.531; -7.873; -7.529
APVD_57_ZINC;	-8.489; -8.565; -9.117; -7.041; -8.631; -8.842; -8.569
APVD_58_ZINC;	-6.125; -5.963; -6.867; -7.221; -6.429; -6.301; -6.527
APVD_59_ZINC;	-7.535; -7.845; -7.855; -7.667; -7.381; -7.458; -7.430
APVD_60_ZINC;	-7.375; -7.704; -7.500; -7.563; -7.155; -7.201; -7.232
APVD_61_ZINC;	-7.411; -7.608; -7.747; -7.673; -7.195; -7.143; -7.259
APVD_62_ZINC;	-6.865; -6.369; -7.946; -8.239; -6.974; -7.187; -7.077
APVD_63_ZINC;	-6.531; -6.590; -7.335; -6.629; -6.804; -7.042; -6.848
APVD_64_ZINC;	-8.274; -8.717; -8.458; -7.405; -8.359; -7.685; -8.312
APVD_65_ZINC;	-8.294; -8.717; -8.459; -7.405; -8.361; -7.684; -8.314
APVD_66_ZINC;	-8.060; -8.210; -8.416; -7.345; -8.012; -7.978; -7.975
APVD_67_ZINC;	-6.058; -5.745; -6.040; -7.127; -5.634; -5.856; -5.634
APVD_68_ZINC;	-6.467; -6.321; -6.146; -7.314; -6.374; -5.885; -6.339
APVD_69_ZINC;	-6.617; -6.480; -6.269; -6.659; -6.565; -6.253; -6.515
APVD_70_ZINC;	-8.830; -8.894; -9.338; -7.376; -8.517; -9.305; -8.538
APVD_71_ZINC;	-7.576; -8.006; -7.790; -7.321; -7.652; -7.660; -7.686
APVD_72_ZINC;	-7.408; -7.858; -7.503; -7.543; -7.465; -7.258; -7.514
APVD_73_ZINC;	-7.413; -7.897; -7.517; -7.543; -7.474; -7.261; -7.524
APVD_74_ZINC;	-7.244; -7.595; -7.443; -7.008; -7.130; -7.048; -7.218
APVD_75_ZINC;	-8.381; -8.278; -8.469; -9.528; -7.246; -8.117; -7.471
APVD_76_ZINC;	-8.471; -8.301; -8.547; -9.766; -7.357; -8.206; -7.582
APVD_77_ZINC;	-7.485; -7.843; -7.799; -6.818; -7.521; -7.695; -7.564
APVD_78_ZINC;	-7.509; -7.906; -7.547; -7.104; -7.335; -7.317; -7.393
APVD_79_ZINC;	-7.517; -7.905; -7.551; -7.104; -7.338; -7.319; -7.396
APVD_80_ZINC;	-7.796; -8.018; -7.872; -7.155; -7.619; -7.172; -7.644
APVD_81_ZINC;	-8.027; -8.240; -8.018; -7.276; -7.805; -7.464; -7.815
APVD_82_ZINC;	-8.288; -8.531; -8.940; -8.985; -7.763; -8.464; -7.949
APVD_83_ZINC;	-7.815; -8.026; -8.501; -8.469; -7.509; -8.008; -7.516
APVD_84_ZINC;	-8.263; -8.390; -8.587; -8.089; -8.347; -8.141; -8.341
APVD_85_ZINC;	-8.469; -8.501; -8.647; -9.606; -8.397; -8.181; -8.450
APVD_86_ZINC;	-7.293; -7.466; -7.518; -7.893; -7.306; -6.850; -7.354
APVD_87_ZINC;	-6.262; -6.137; -6.154; -7.217; -6.187; -5.804; -6.158
APVD_88_ZINC;	-6.300; -6.287; -6.288; -7.028; -6.339; -6.177; -6.302
APVD_89_ZINC;	-7.494; -7.951; -7.623; -5.941; -7.483; -7.310; -7.541
APVD_90_ZINC;	-7.661; -7.373; -8.295; -8.627; -7.167; -7.620; -7.250
APVD_91_ZINC;	-7.632; -7.340; -8.078; -8.773; -7.070; -7.405; -7.174
APVD_92_ZINC;	-6.612; -6.773; -7.366; -7.234; -7.203; -6.784; -7.265
APVD_93_ZINC;	-6.926; -7.119; -7.498; -7.584; -7.358; -7.086; -7.414
APVD_94_ZINC;	-8.667; -8.906; -8.877; -7.154; -7.689; -8.623; -7.866
APVD_95_ZINC;	-8.492; -8.651; -8.872; -8.980; -8.374; -8.490; -8.462
APVD_96_ZINC;	-8.728; -8.832; -9.166; -9.294; -8.934; -8.810; -8.984
APVD_97_ZINC;	-8.785; -8.959; -9.368; -9.162; -9.124; -9.036; -9.159
APVD_98_ZINC;	-8.632; -8.711; -9.204; -9.211; -7.998; -9.022; -8.182
APVD_99_ZINC;	-7.974; -7.853; -9.097; -9.225; -7.650; -8.496; -7.638
APVD_100_ZINC;	-8.660; -8.669; -9.065; -8.398; -8.472; -8.738; -8.516
APVD_101_ZINC;	-8.660; -8.669; -9.065; -8.398; -8.472; -8.738; -8.516
APVD_102_ZINC;	-6.437; -6.086; -6.649; -6.261; -6.109; -6.069; -6.252
APVD_103_ZINC;	-6.122; -5.944; -6.378; -6.385; -5.762; -6.284; -5.737
APVD_104_ZINC;	-7.437; -7.529; -7.797; -5.606; -7.689; -7.212; -7.690
APVD_105_ZINC;	-7.749; -7.990; -8.441; -7.683; -7.604; -8.077; -7.588
APVD_106_ZINC;	-6.985; -6.653; -8.003; -7.607; -6.715; -7.137; -6.826
APVD_107_ZINC;	-7.885; -8.172; -7.976; -8.297; -7.598; -8.062; -7.741
APVD_108_ZINC;	-8.549; -8.717; -8.828; -9.356; -8.338; -8.228; -8.440
APVD_109_ZINC;	-8.545; -8.722; -8.832; -9.356; -8.344; -8.234; -8.446
APVD_110_ZINC;	-8.545; -8.722; -8.832; -9.356; -8.344; -8.234; -8.446
APVD_111_ZINC;	-7.187; -7.511; -7.373; -5.931; -7.153; -6.886; -7.147
APVD_112_ZINC;	-6.498; -6.359; -6.704; -6.592; -6.499; -6.303; -6.484
APVD_113_ZINC;	-6.604; -6.376; -6.784; -7.102; -6.610; -6.601; -6.594
APVD_114_ZINC;	-9.052; -9.151; -8.794; -8.202; -8.084; -8.835; -8.210
APVD_115_ZINC;	-8.366; -8.672; -8.585; -8.240; -8.543; -7.950; -8.470
APVD_116_ZINC;	-7.321; -7.201; -7.747; -7.147; -7.162; -7.016; -7.245
APVD_117_ZINC;	-7.326; -7.330; -7.669; -5.854; -7.308; -7.140; -7.383
APVD_118_ZINC;	-7.557; -7.740; -8.202; -9.228; -7.261; -8.024; -7.313
APVD_119_ZINC;	-7.791; -7.897; -8.373; -9.902; -7.462; -8.353; -7.520
APVD_120_ZINC;	-7.735; -8.003; -8.541; -9.151; -7.657; -8.550; -7.700
APVD_121_ZINC;	-6.798; -6.769; -7.995; -9.247; -7.131; -7.474; -7.176
APVD_122_ZINC;	-6.821; -6.881; -7.701; -8.175; -7.189; -7.271; -7.204
APVD_123_ZINC;	-7.937; -8.112; -8.124; -7.447; -7.745; -7.355; -7.757
APVD_124_ZINC;	-7.576; -8.006; -7.790; -7.321; -7.652; -7.660; -7.686
APVD_125_ZINC;	-7.413; -7.897; -7.517; -7.543; -7.474; -7.261; -7.524
APVD_126_ZINC;	-7.416; -7.876; -7.505; -7.543; -7.466; -7.259; -7.516
APVD_127_ZINC;	-8.749; -8.748; -9.418; -9.339; -8.310; -9.391; -8.489
APVD_128_ZINC;	-8.598; -8.652; -9.133; -9.101; -8.137; -9.028; -8.313
APVD_129_ZINC;	-5.548; -5.377; -5.261; -5.158; -4.793; -5.263; -5.000
APVD_130_ZINC;	-5.539; -5.360; -5.263; -5.158; -4.793; -5.265; -5.001
APVD_131_ZINC;	-8.310; -8.610; -8.676; -7.542; -8.134; -7.982; -8.136
APVD_132_ZINC;	-6.468; -6.391; -6.866; -6.237; -6.424; -7.014; -6.434
APVD_133_ZINC;	-6.459; -6.477; -6.731; -6.323; -6.387; -6.640; -6.384
APVD_134_ZINC;	-6.043; -5.878; -5.674; -6.843; -5.381; -5.270; -5.425
APVD_135_ZINC;	-5.969; -5.826; -6.057; -6.879; -5.312; -5.586; -5.359
APVD_136_ZINC;	-8.336; -8.528; -8.896; -9.234; -7.907; -8.617; -8.041
APVD_137_ZINC;	-8.354; -8.556; -9.194; -7.616; -8.125; -8.593; -8.066
APVD_138_ZINC;	-8.354; -8.556; -9.194; -7.616; -8.125; -8.593; -8.066
APVD_139_ZINC;	-7.639; -8.175; -8.078; -7.086; -7.691; -8.044; -7.692
APVD_140_ZINC;	-7.232; -7.677; -7.784; -6.545; -8.072; -7.205; -8.005
APVD_141_ZINC;	-8.863; -8.932; -8.977; -6.635; -9.080; -9.091; -9.062
APVD_142_ZINC;	-9.075; -9.106; -9.280; -6.715; -9.172; -9.465; -9.165
APVD_143_ZINC;	-5.573; -5.355; -5.110; -5.502; -4.840; -5.228; -4.955
APVD_144_ZINC;	-6.844; -6.824; -7.189; -4.938; -7.417; -6.502; -7.463
APVD_145_ZINC;	-5.839; -5.968; -5.340; -5.945; -5.136; -4.539; -5.214
APVD_146_ZINC;	-5.839; -5.971; -5.342; -5.945; -5.137; -4.539; -5.216
APVD_147_ZINC;	-6.675; -6.960; -6.944; -6.962; -7.198; -6.534; -7.141
