C=CCc1ccccc1OCC(O)C[NH2+]C(C)C	ZINC000000000023
CCC(C)(C[NH+](C)C)OC(=O)c1ccccc1	ZINC000000000038
CCC(C)(CN(C)C)OC(=O)c1ccccc1	ZINC000000000038
CC(=O)Oc1ccccc1C(=O)O	ZINC000000000053
[NH3+]CC(CC(=O)O)c1ccc(Cl)cc1	ZINC000000000061
CC(C[N+](C)(C)C)OC(N)=O	ZINC000000000083
C[NH+](C)CCOC(c1ccccc1)c1ccc(Br)cc1	ZINC000000000095
CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1	ZINC000000000095
C[NH+](C)CCC(c1ccc(Br)cc1)c1ccccn1	ZINC000000000096
C[NH+](C)CCOC(c1ccc(Cl)cc1)c1ccccn1	ZINC000000000122
CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1	ZINC000000000122
CC(C)(C)[NH2+]CC(O)COc1cccc2c1CCC(=O)N2	ZINC000000000128
CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1	ZINC000000000133
OCC(O)COc1ccc(Cl)cc1	ZINC000000000135
CC(CN1c2ccccc2Sc2ccc(C#N)cc21)C[NH+](C)C	ZINC000000000188
CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1	ZINC000000000189
C[NH+](C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1	ZINC000000000196
CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1	ZINC000000000196
OC(CC[NH+]1CCCCC1)(c1ccccc1)C1CCCC1	ZINC000000000199
CC[NH+](CC)C(C)C(=O)c1ccccc1	ZINC000000000215
CCN(CC)C(C)C(=O)c1ccccc1	ZINC000000000215
C[NH+](C)CCOC(C)(c1ccccc1)c1ccccn1	ZINC000000000242
CN(C)CCOC(C)(c1ccccc1)c1ccccn1	ZINC000000000242
CCc1ccc(C(=O)C(C)C[NH+]2CCCCC2)cc1	ZINC000000000250
CCc1ccc(C(=O)C(C)CN2CCCCC2)cc1	ZINC000000000250
COC(=O)CCc1ccc(OCC(O)C[NH2+]C(C)C)cc1	ZINC000000000257
