PDBID;PD(K+R+HIP);PA(D+E);PD(T+S+Y+DH+EH);PA(N+Q+T+S+DH+EH);PD(LYN+N+Q);PA(LYN);PD(W+H);PA(Y+H);PD(Amide-NH);PA(Amide-O);PP(Non-Arom);PP(Arom);PMR(Non-Arom);PMR(Arom);Volume;D;A;P;MR;W;rot_bonds;MASS;Expt_BE;Atom_Efficiency;No. of atoms
2r58;1.038;0.346;0.0;0.173;0.519;0;0.173;0.0;1.038;0.692;0.0;0.861;0.0;17.884;258.19;4;2;-3.338;43.212;229.951;0.727;175.0;-2.727;-0.22725;12
3c2f;3.048;1.143;0.762;0.762;0.191;0;0.0;0.0;1.143;0.762;0.0;0.0;0.0;0.0;2367.56;2;14;-5.6;61.969;639.669;0.045;385.0;-2.721;-0.123682;22
3g2y;1.157;0.386;1.35;1.736;1.157;0;0.0;0.193;1.35;1.736;0.0;0.0;11.976;0.0;391.08;2;6;-0.265;47.79;223.277;0.067;194.0;-2.727;-0.194786;14
4qsu;0.0;0.0;0.0;0.292;0.585;0;0.0;0.292;1.754;0.292;0.0;0.0;0.0;0.0;823.5;1;4;-0.057;31.195;64.31;0.0;126.0;-2.727;-0.303;9
4qsv;0.0;0.412;0.0;0.206;0.412;0;0.0;0.412;3.501;1.03;0.0;0.0;0.0;0.0;834.47;3;7;-1.09;55.505;411.954;0.0;242.0;-2.727;-0.160412;17
4u54;0.483;0.322;0.644;0.805;0.644;0;0.322;0.0;1.771;2.093;0.0;0.44;3.654;9.276;173.81;2;1;1.442;61.226;289.411;0.125;199.0;-2.809;-0.187267;15
3ao4;0.71;0.71;0.177;0.177;0.177;0;0.355;0.355;2.307;2.129;0.066;0.172;12.074;6.725;742.5;2;4;1.398;59.179;311.511;0.0;217.0;-2.823;-0.176437;16
4cs9;1.457;0.795;0.132;0.0;0.0;0;0.132;0.132;2.782;1.325;0.0;0.557;3.903;12.343;774.56;4;11;-3.127;70.59;836.164;0.04;345.0;-2.859;-0.124304;23
2w8w;0.682;0.511;1.193;1.193;0.341;0;0.341;0.511;3.75;2.557;0.175;0.166;19.648;6.461;1348.73;2;10;-3.029;67.882;783.616;0.091;331.0;-2.897;-0.131682;22
3gv9;1.788;0.0;0.447;1.117;1.788;0;0.0;0.223;1.117;1.117;0.229;0.0;4.756;0.0;1025.16;1;4;0.07;42.953;143.372;0.0;184.0;-2.897;-0.241417;12
4q90;0.0;0.0;0.543;0.814;0.543;0;0.543;0.543;0.543;0.271;0.0;0.0;0.0;0.0;594.0;0;1;1.679;36.226;40.164;0.0;125.0;-2.938;-0.36725;8
5cs3;1.453;0.291;0.291;0.145;0.145;0;0.145;0.145;2.035;1.453;0.0;0.681;0.0;15.265;248.48;3;4;-3.222;57.439;433.474;0.188;253.0;-2.938;-0.183625;16
4tim;0.9;0.6;0.0;0.3;0.3;0;0.3;0.0;2.1;2.1;0.0;0.0;5.008;0.0;694.41;1;7;-5.337;32.865;98.263;0.2;183.0;-2.947;-0.267909;11
5fe6;0.0;0.219;0.658;0.219;0.439;0;0.0;0.658;1.097;1.317;0.0;0.429;0.0;10.406;653.48;3;2;-0.595;45.12;181.861;0.0;167.0;-2.946;-0.2455;12
3gqz;2.086;0.16;0.481;0.481;0.802;0;0.0;0.16;1.765;1.605;0.988;0.314;18.084;7.609;766.55;0;5;-0.008;61.913;504.23;0.0;246.0;-2.964;-0.164667;18
4y3j;0.0;1.631;1.223;0.611;0.0;0;0.0;0.0;1.834;1.834;0.0;0.0;8.965;0.0;1291.78;3;3;-2.677;38.595;171.952;0.167;169.0;-2.955;-0.24625;12
4ahr;0.642;0.428;0.214;0.214;0.214;0;0.214;0.428;2.355;2.355;0.079;0.0;9.711;0.0;845.86;0;4;0.098;45.893;257.392;0.067;193.0;-2.982;-0.213;14
4ahs;0.0;0.256;0.256;0.256;0.0;0;0.256;0.256;1.793;2.305;0.095;0.0;11.616;0.0;418.92;0;3;0.796;40.544;123.166;0.0;161.0;-2.991;-0.24925;12
4mre;1.519;0.608;0.0;0.304;0.608;0;0.0;0.0;4.254;1.519;0.0;0.0;0.0;0.0;711.7;4;2;1.159;40.004;60.762;0.0;122.0;-2.991;-0.332333;9
1x8d;0.0;0.0;0.563;0.0;0.0;0;0.844;0.563;0.0;0.0;0.0;0.0;0.0;0.0;764.86;3;5;-1.986;33.574;119.204;0.0;162.0;-3.014;-0.274;11
4g0z;1.667;0.0;0.37;0.37;0.741;0;0.0;0.37;0.741;0.741;0.0;0.362;5.456;8.782;491.91;6;11;-5.691;71.192;970.426;0.038;362.0;-3.017;-0.125708;24
1m0n;1.14;0.652;1.792;1.792;0.977;0;0.326;0.163;3.258;1.629;0.0;0.445;11.61;9.385;837.42;1;10;-2.235;89.1;1003.623;0.038;390.0;-3.029;-0.12116;25
2aac;1.354;0.0;0.542;0.271;0.271;0;0.542;0.542;0.0;0.542;0.0;0.0;0.0;0.0;599.06;4;5;-2.194;34.574;122.961;0.0;164.0;-3.029;-0.275364;11
4ury;0.549;0.915;0.549;0.549;0.0;0;0.366;0.549;2.38;2.38;0.376;0.536;11.417;15.622;1275.75;3;5;1.34;58.857;278.251;0.0;238.0;-3.029;-0.189312;16
1ajp;0.0;0.0;0.267;0.8;0.267;0;0.0;0.0;1.333;1.333;0.274;0.0;5.674;0.0;1044.98;2;4;-0.61;38.483;153.132;0.0;167.0;-3.044;-0.253667;12
3ao5;1.213;0.455;0.303;0.303;0.303;0;0.303;0.303;2.729;3.184;0.212;0.561;16.076;14.483;475.03;2;4;2.161;66.879;346.134;0.0;295.0;-3.039;-0.178765;17
3i3b;0.257;2.058;0.257;0.772;0.772;0;1.029;0.515;0.257;0.257;0.0;0.0;0.0;0.0;1027.27;4;6;-3.013;34.986;155.141;0.0;178.0;-3.039;-0.25325;12
4np2;1.7;0.68;0.0;0.17;0.34;0;0.17;0.17;4.251;1.53;0.0;0.0;2.838;0.0;665.3;2;1;0.859;66.708;433.799;0.0;228.0;-3.081;-0.181235;17
1uto;0.0;0.69;0.69;0.46;0.0;0;0.23;0.0;2.761;2.3;0.0;0.0;10.617;0.0;874.97;3;0;0.471;37.901;75.122;0.222;122.0;-3.101;-0.344556;9
4ahu;0.234;0.468;0.234;0.234;0.234;0;0.234;0.234;1.871;2.339;0.087;0.0;10.608;0.0;391.5;1;2;0.531;42.629;127.274;0.0;160.0;-3.092;-0.257667;12
1ps3;0.981;1.961;0.735;0.0;0.0;0;0.735;0.49;0.245;0.735;0.0;0.0;0.0;0.0;677.11;5;8;-4.272;47.671;322.241;0.0;232.0;-3.114;-0.194625;16
3ip8;0.0;0.0;1.063;0.851;0.0;0;0.0;0.425;1.914;1.914;0.0;0.0;16.911;0.0;649.69;0;3;-1.179;46.045;94.714;0.0;170.0;-3.114;-0.283091;11
4ddk;0.0;0.238;0.238;0.238;0.0;0;0.476;0.476;3.571;2.381;0.0;0.0;3.974;0.0;953.02;0;4;-0.221;36.895;136.607;0.0;165.0;-3.126;-0.2605;12
3dyo;0.183;1.279;0.365;0.548;1.461;0;0.731;0.548;0.913;0.731;0.0;0.499;0.0;10.525;1152.98;4;5;-1.072;56.494;273.282;0.2;238.0;-3.137;-0.209133;15
3mhw;0.0;0.778;0.778;0.519;0.0;0;0.0;0.259;3.114;2.076;0.0;0.0;17.865;0.0;623.53;2;2;1.878;44.032;63.458;0.0;150.0;-3.134;-0.3134;10
4g0y;1.374;0.0;0.458;0.458;0.611;0;0.0;0.458;1.526;1.526;0.313;0.298;9.849;7.238;510.05;4;11;-3.127;70.59;836.164;0.04;345.0;-3.138;-0.136435;23
4jsz;0.702;0.468;0.0;0.234;0.234;0;0.234;0.468;2.105;1.637;0.0;0.0;0.0;0.0;183.52;2;3;1.415;37.859;57.757;0.0;157.0;-3.137;-0.3137;10
1m0o;1.169;0.668;1.67;1.67;1.002;0;0.334;0.167;2.839;1.67;0.0;0.456;11.905;9.623;835.31;1;10;-2.379;86.597;897.322;0.167;378.0;-3.149;-0.131208;24
4y0a;2.812;0.844;0.0;0.0;0.0;0;0.0;0.0;1.406;0.562;0.0;0.0;0.0;0.0;661.92;3;5;-2.771;35.751;171.664;0.0;175.0;-3.143;-0.261917;12
5mz8;1.321;0.0;0.991;0.33;0.991;0;0.0;0.661;0.661;0.0;0.0;0.0;0.0;0.0;440.02;0;4;-2.734;19.248;62.855;0.143;116.0;-3.149;-0.393625;8
5aol;0.0;0.0;0.239;0.239;0.0;0;0.0;0.0;1.432;1.671;0.0;0.0;13.549;0.0;884.67;4;2;2.632;47.969;164.824;0.0;254.0;-3.161;-0.243154;13
4iie;3.484;1.901;0.634;0.317;0.0;0;0.317;0.317;0.634;0.0;0.0;0.0;0.0;0.0;812.11;6;4;-3.503;37.918;149.528;0.0;176.0;-3.187;-0.265583;12
3gtc;0.624;0.208;0.624;0.416;0.416;0;0.0;0.208;1.249;1.249;0.0;0.0;13.877;0.0;745.03;1;4;0.117;53.341;291.085;0.0;226.0;-3.2;-0.213333;15
